Date,White1,White2,White3,White4,White5,Powerball
2014-02-15,2,9,14,21,23,3
2014-02-19,1,17,35,49,54,34
2014-02-22,2,3,13,14,54,4
2014-02-26,11,12,17,38,42,2
2014-03-01,3,8,25,30,47,13
2014-03-05,3,7,9,26,54,19
2014-03-08,10,14,24,32,41,30
2014-03-12,14,15,28,37,54,10
2014-03-15,2,5,34,51,58,9
2014-03-19,2,19,23,34,43,14
2014-03-22,13,28,31,55,58,15
2014-03-26,28,33,41,44,59,21
2014-03-29,2,3,12,27,38,17
2014-04-02,8,13,19,22,53,24
2014-04-05,11,21,26,33,34,29
2014-04-09,9,14,44,48,49,29
2014-04-12,14,26,45,54,55,20
2014-04-16,34,39,42,44,59,8
2014-04-19,5,6,29,35,51,21
2014-04-23,19,25,29,36,48,12
2014-04-26,3,7,22,30,33,20
2014-04-30,2,9,11,19,50,32
2014-05-03,5,15,16,46,49,26
2014-05-07,17,29,31,48,49,34
2014-05-10,4,31,41,47,55,1
2014-05-14,7,33,39,52,55,33
2014-05-17,23,32,39,47,49,22
2014-05-21,4,20,34,39,58,31
2014-05-24,15,16,28,49,55,18
2014-05-28,2,24,28,32,59,25
2014-05-31,15,27,31,34,48,1
2014-06-04,1,7,10,22,49,24
2014-06-07,28,30,35,58,59,15
2014-06-11,14,18,25,33,49,23
2014-06-14,9,33,42,45,54,30
2014-06-18,6,9,29,52,59,7
2014-06-21,5,6,37,41,54,26
2014-06-25,10,20,25,50,53,35
2014-07-02,8,18,45,53,58,35
2014-07-05,24,34,36,57,58,11
2014-07-09,9,25,42,55,57,14
2014-07-12,2,3,7,23,51,26
2014-07-16,5,15,18,26,32,35
2014-07-19,10,17,25,45,53,9
2014-07-23,4,10,12,22,31,3
2014-07-26,24,28,30,38,39,16
2014-07-30,13,30,42,49,53,29
2014-08-02,12,26,44,46,47,29
2014-08-06,1,8,24,28,49,24
2014-08-09,3,12,31,34,51,24
2014-08-13,8,37,39,40,52,24
2014-08-16,7,8,17,48,59,9
2014-08-20,4,8,21,38,40,3
2014-08-23,28,32,35,36,52,31
2014-08-27,17,24,26,45,46,19
2014-08-30,5,28,31,52,59,27
2014-09-03,2,16,43,45,51,35
2014-09-06,9,29,31,43,50,18
2014-09-10,2,14,39,40,43,13
2014-09-13,1,6,16,37,53,27
2014-09-17,18,25,36,48,50,23
2014-09-20,22,23,30,37,39,16
2014-09-24,7,14,21,24,41,26
2014-09-27,2,11,35,52,54,13
2014-10-01,1,4,18,20,45,7
2014-10-04,13,18,24,25,33,31
2014-10-08,5,16,31,46,50,18
2014-10-11,10,19,37,38,39,28
2014-10-15,5,7,19,27,28,20
2014-10-18,20,26,27,36,54,19
2014-10-22,29,30,40,42,50,16
2014-10-25,6,10,51,54,57,12
2014-10-29,25,28,48,57,59,16
2014-11-01,1,3,13,25,38,17
2014-11-05,2,11,19,21,42,34
2014-11-08,9,19,33,38,54,15
2014-11-12,37,39,51,52,55,11
2014-11-15,13,16,33,35,51,28
2014-11-19,6,36,38,48,51,17
2014-11-22,23,49,53,54,57,35
2014-11-26,16,17,22,46,54,35
2014-11-29,13,24,30,42,48,27
2014-12-03,25,30,32,46,54,26
2014-12-06,12,15,22,43,49,14
